distance,age_group,gender,beginner,novice,intermediate,advanced,elite
5k,10,male,37:39,31:29,26:56,23:35,21:07
5k,15,male,32:35,27:14,23:19,20:25,18:17
5k,20,male,31:29,26:19,22:31,19:44,17:40
5k,25,male,31:29,26:19,22:31,19:44,17:40
5k,30,male,31:29,26:19,22:32,19:44,17:40
5k,35,male,31:59,26:45,22:53,20:03,17:57
5k,40,male,33:09,27:43,23:43,20:46,18:36
5k,45,male,34:25,28:47,24:38,21:34,19:19
5k,50,male,35:47,29:55,25:36,22:26,20:05
5k,55,male,37:16,31:10,26:40,23:21,20:55
5k,60,male,38:53,32:31,27:49,24:22,21:49
5k,65,male,40:38,33:59,29:05,25:28,22:48
5k,70,male,42:43,35:43,30:34,26:46,23:58
5k,75,male,45:55,38:23,32:51,28:46,25:46
5k,80,male,50:49,42:30,36:22,31:51,28:31
5k,85,male,58:28,48:53,41:50,36:38,32:48
5k,90,male,01:11:08,59:29,50:54,44:35,39:55
5k,10,female,41:29,35:16,30:33,27:00,24:20
5k,15,female,37:14,31:40,27:26,24:14,21:50
5k,20,female,35:27,30:08,26:07,23:04,20:47
5k,25,female,35:27,30:08,26:07,23:04,20:47
5k,30,female,35:27,30:08,26:07,23:04,20:47
5k,35,female,35:40,30:20,26:17,23:13,20:56
5k,40,female,36:25,30:58,26:49,23:42,21:22
5k,45,female,37:43,32:04,27:47,24:33,22:07
5k,50,female,39:39,33:43,29:13,25:49,23:16
5k,55,female,41:56,35:40,30:54,27:18,24:36
5k,60,female,44:29,37:50,32:47,28:58,26:06
5k,65,female,47:23,40:18,34:54,30:51,27:48
5k,70,female,50:40,43:05,37:20,32:59,29:43
5k,75,female,54:27,46:18,40:07,35:27,31:56
5k,80,female,58:57,50:07,43:25,38:22,34:35
5k,85,female,01:06:22,56:26,48:54,43:12,38:56
5k,90,female,01:19:59,01:08:01,58:55,52:04,46:55
10k,10,male,01:18:09,01:05:13,55:45,48:48,43:43
10k,15,male,01:07:39,56:28,48:15,42:15,37:51
10k,20,male,01:05:30,54:39,46:43,40:54,36:38
10k,25,male,01:05:30,54:39,46:43,40:54,36:38
10k,30,male,01:05:30,54:39,46:43,40:54,36:38
10k,35,male,01:06:06,55:09,47:09,41:16,36:58
10k,40,male,01:07:58,56:43,48:29,42:26,38:01
10k,45,male,01:10:43,59:01,50:26,44:10,39:33
10k,50,male,01:13:42,01:01:30,52:34,46:01,41:14
10k,55,male,01:16:57,01:04:13,54:53,48:03,43:03
10k,60,male,01:20:30,01:07:11,57:25,50:16,45:02
10k,65,male,01:24:23,01:10:25,01:00:11,52:42,47:12
10k,70,male,01:28:40,01:14:00,01:03:15,55:22,49:36
10k,75,male,01:34:32,01:18:53,01:07:26,59:02,52:53
10k,80,male,01:43:56,01:26:45,01:14:08,01:04:54,58:08
10k,85,male,01:58:54,01:39:14,01:24:49,01:14:15,01:06:31
10k,90,male,02:24:04,02:00:14,01:42:45,01:29:58,01:20:35
10k,10,female,01:28:35,01:15:13,01:05:03,57:26,51:44
10k,15,female,01:18:52,01:06:58,57:55,51:07,46:03
10k,20,female,01:13:58,01:02:48,54:19,47:57,43:12
10k,25,female,01:13:49,01:02:40,54:13,47:51,43:06
10k,30,female,01:13:58,01:02:48,54:19,47:57,43:12
10k,35,female,01:14:53,01:03:35,55:00,48:33,43:44
10k,40,female,01:16:43,01:05:08,56:20,49:44,44:48
10k,45,female,01:19:34,01:07:33,58:26,51:35,46:28
10k,50,female,01:23:41,01:11:03,01:01:27,54:15,48:52
10k,55,female,01:28:40,01:15:17,01:05:07,57:29,51:47
10k,60,female,01:34:18,01:20:04,01:09:15,01:01:08,55:04
10k,65,female,01:40:42,01:25:30,01:13:57,01:05:16,58:48
10k,70,female,01:48:01,01:31:43,01:19:20,01:10:01,01:03:05
10k,75,female,01:56:29,01:38:54,01:25:33,01:15:31,01:08:01
10k,80,female,02:08:29,01:49:06,01:34:22,01:23:18,01:15:02
10k,85,female,02:28:44,02:06:17,01:49:14,01:36:25,01:26:51
10k,90,female,03:04:58,02:37:02,02:15:50,01:59:54,01:48:00
half-marathon,10,male,02:53:28,02:25:01,02:03:56,01:48:22,01:36:56
half-marathon,15,male,02:30:07,02:05:30,01:47:15,01:33:47,01:23:53
half-marathon,20,male,02:24:57,02:01:11,01:43:33,01:30:33,01:21:00
half-marathon,25,male,02:24:57,02:01:11,01:43:33,01:30:33,01:21:00
half-marathon,30,male,02:24:57,02:01:11,01:43:33,01:30:33,01:21:00
half-marathon,35,male,02:25:45,02:01:51,01:44:08,01:31:03,01:21:26
half-marathon,40,male,02:29:29,02:04:59,01:46:48,01:33:24,01:23:32
half-marathon,45,male,02:35:40,02:10:09,01:51:13,01:37:15,01:26:59
half-marathon,50,male,02:42:28,02:15:49,01:56:04,01:41:30,01:30:47
half-marathon,55,male,02:49:52,02:22:01,02:01:22,01:46:07,01:34:55
half-marathon,60,male,02:57:59,02:28:48,02:07:09,01:51:12,01:39:27
half-marathon,65,male,03:06:54,02:36:16,02:13:32,01:56:46,01:44:26
half-marathon,70,male,03:16:47,02:44:31,02:20:35,02:02:56,01:49:57
half-marathon,75,male,03:30:19,02:55:50,02:30:15,02:11:24,01:57:31
half-marathon,80,male,03:52:02,03:13:59,02:45:46,02:24:57,02:09:39
half-marathon,85,male,04:26:50,03:43:05,03:10:39,02:46:42,02:29:06
half-marathon,90,male,05:26:01,04:32:34,03:52:55,03:23:41,03:02:10
half-marathon,10,female,03:24:32,02:54:12,02:30:51,02:13:09,01:59:51
half-marathon,15,female,02:58:13,02:31:46,02:11:26,01:56:01,01:44:26
half-marathon,20,female,02:44:14,02:19:52,02:01:07,01:46:54,01:36:14
half-marathon,25,female,02:42:59,02:18:48,02:00:12,01:46:06,01:35:30
half-marathon,30,female,02:43:02,02:18:50,02:00:14,01:46:08,01:35:32
half-marathon,35,female,02:44:34,02:20:09,02:01:22,01:47:07,01:36:26
half-marathon,40,female,02:48:23,02:23:24,02:04:11,01:49:37,01:38:40
half-marathon,45,female,02:54:51,02:28:55,02:08:57,01:53:49,01:42:28
